truckingcompanyid,productid,distanceinmiles,fuelcost,linehaulcost,source,destination
2692,7,1654.44,4.89,41.01,Virginia Beach,Las Vegas
8911,13,1849.08,7.11,138.88,Chicago,El Paso
2848,11,3308.88,4.85,218.82,Raleigh,San Antonio
3004,20,3114.24,7.35,96.98,Houston,Sacramento
8476,20,1070.52,5.76,589.48,Oklahoma City,Columbus
1319,2,291.96,2.81,510.51,Portland,Nashville
1615,3,194.64,5.67,2457.45,Oklahoma City,Las Vegas
2680,2,875.88,6.68,478.32,Washington,Louisville
4693,6,97.32,5.67,2928.48,Arlington,New Orleans
1402,11,1070.52,5.39,77.55,San Antonio,Seattle
1467,21,2822.28,5.13,44.97,Denver,Tampa
2485,21,3698.16,5.24,43.05,Virginia Beach,Philadelphia
7386,12,3600.84,5.87,188.12,Los Angeles,Colorado Springs
6202,19,1654.44,5.78,242.19,Milwaukee,Columbus
6396,15,291.96,4.05,2959.13,Minneapolis,Long Beach
8625,18,3503.52,5.44,41.64,Tampa,Jacksonville
1338,24,1070.52,4.29,509.73,Tulsa,Sacramento
9442,2,3211.56,4.85,28.55,Austin,Virginia Beach
3540,9,973.2,6.73,645.13,Boston,Milwaukee
4303,12,3114.24,5.43,60.55,Fort Worth,Oakland
2095,2,778.56,5.69,585.65,Houston,Jacksonville
4313,6,3211.56,7.24,372.17,Chicago,Sacramento
3171,1,486.6,5.98,440.24,Long Beach,Kansas City
4907,16,1362.48,6.48,445.85,Oklahoma City,Austin
2447,10,1265.16,5.2,351.65,Las Vegas,Omaha
8946,20,583.92,6.3,84.74,Louisville,Nashville
8955,19,1946.4,3.96,923.22,Tampa,Memphis
9747,4,583.92,5.03,2592.4,Albuquerque,Portland
3831,20,486.6,5.2,707.4,Miami,Tulsa
5084,21,2043.72,6.92,550.35,Detroit,Chicago
4523,21,2530.32,3.06,65.42,Austin,Atlanta
1855,2,4379.4,4.45,32.31,Arlington,Houston
5161,22,97.32,7.03,1381.88,Mesa,Sacramento
7337,11,486.6,6.56,769.33,San Francisco,Austin
9240,23,2530.32,6.1,498.19,Los Angeles,Memphis
9115,7,1265.16,5,625.62,Omaha,Las Vegas
5122,16,1946.4,4.25,45.53,Seattle,Kansas City
1757,16,1070.52,6.98,154.24,Chicago,Columbus
7030,1,486.6,5.46,3225.8,Mesa,Omaha
4082,5,1459.8,4.8,706.64,Baltimore,Oakland
1442,14,681.24,5.03,851.33,Omaha,Tucson
1796,17,194.64,5.67,5866.29,Fort Worth,Charlotte
7426,21,389.28,5.17,811.69,Long Beach,Tulsa
4876,10,1362.48,6.49,91.33,Denver,Phoenix
3664,4,2043.72,7.35,34.2,Milwaukee,San Jose
6885,9,2530.32,5.97,322.51,Charlotte,Raleigh
6172,16,1362.48,5.04,399.39,Tucson,Denver
9352,11,1167.84,6.76,389.26,Oakland,Tucson
1062,17,1946.4,6.12,157.28,Washington,Omaha
9679,4,97.32,7.37,2760.16,Phoenix,Philadelphia
4158,6,681.24,6.95,1140.63,San Antonio,Columbus
9177,20,681.24,4.86,160.42,Albuquerque,Colorado Springs
3206,20,486.6,6.31,1342.03,Albuquerque,Las Vegas
7247,19,1849.08,4.32,277.09,Boston,Omaha
4230,11,486.6,5.47,583.87,Detroit,Denver
5665,5,194.64,8.43,858.76,Virginia Beach,Miami
6952,13,1070.52,6.23,676.33,Tulsa,Sacramento
3975,14,3114.24,3.96,242.24,Houston,Sacramento
2944,12,1070.52,4.45,75.36,Albuquerque,Boston
7223,8,486.6,5.22,882.48,Sacramento,Milwaukee
8537,11,486.6,6.54,1147.61,Denver,Detroit
9619,16,1070.52,6.77,174.94,Boston,San Jose
2844,19,875.88,5.63,487.65,Las Vegas,Seattle
6370,17,1946.4,6.51,819.72,Oklahoma City,Oakland
7511,17,778.56,3.63,187.39,Portland,Fresno
8827,13,2919.6,4.82,21.4,Seattle,Tampa
5254,22,2919.6,5.31,164.77,Denver,Arlington
6964,2,2335.68,6.18,92.27,Tucson,Dallas
9333,16,1167.84,3.81,326.13,Mesa,Tulsa
1616,6,194.64,7.17,5520.36,San Antonio,Dallas
2389,12,1557.12,5.17,476.48,Baltimore,Columbus
8934,2,681.24,7.16,354.95,Long Beach,Sacramento
2196,15,1167.84,5.26,480.79,San Francisco,Houston
2210,18,875.88,6,705.05,Washington,Louisville
6343,10,1167.84,4.86,633.36,Boston,Dallas
1009,19,97.32,5.44,3053.83,Miami,Raleigh
6626,1,2530.32,4.86,28.6,Raleigh,Charlotte
5701,4,2238.36,6.12,282.62,Indianapolis,Omaha
6995,11,3795.48,5.87,225.48,Tampa,Dallas
2989,5,194.64,6.06,1617.37,Dallas,Austin
4947,19,2627.64,5.65,323.13,Phoenix,Albuquerque
2111,4,486.6,5.73,768.88,Raleigh,Minneapolis
7106,21,486.6,7.32,1534.17,Colorado Springs,Fresno
3824,4,973.2,5.45,264.78,El Paso,Albuquerque
9095,8,1459.8,8.08,183.93,Nashville,Kansas City
3132,14,1362.48,7.01,460.85,Omaha,Portland
3077,9,681.24,5.13,228.4,Chicago,San Jose
3669,9,3114.24,5.81,115.77,Fort Worth,Oakland
6561,9,1070.52,6.29,936.85,Oklahoma City,Columbus
1071,23,1070.52,7.83,294.52,Miami,Milwaukee
9985,7,1362.48,5.65,562.72,Oakland,Milwaukee
7958,21,778.56,4.64,1008.88,Tucson,Oklahoma City
9213,3,1946.4,4.81,492.92,Chicago,Nashville
4933,5,3795.48,4.36,19.18,Virginia Beach,Phoenix
9591,17,2530.32,4.57,447.66,Albuquerque,Philadelphia
3867,10,3406.2,4.76,278.88,Austin,Minneapolis
6957,21,3795.48,6.91,112.78,Los Angeles,Raleigh
2100,24,2433,4.91,236.1,Miami,Indianapolis
8837,18,2627.64,5.37,65.24,Nashville,New Orleans
3586,5,3503.52,4.57,56.08,Raleigh,Phoenix
9496,11,1751.76,7.16,448.48,Omaha,El Paso
7860,22,583.92,5.67,808.89,Milwaukee,Atlanta
9694,10,389.28,4.11,1385.06,Raleigh,Atlanta
2537,5,97.32,5.02,761.99,San Jose,Dallas
3652,20,291.96,4.66,5870.94,Philadelphia,Dallas
1187,2,2043.72,5.58,198.33,Tampa,Las Vegas
1133,15,2335.68,4.52,149.58,Minneapolis,El Paso
8847,19,389.28,6.07,369,Kansas City,Miami
2017,23,1070.52,4.45,483.36,Milwaukee,Washington
1925,8,875.88,6.18,1271.92,Albuquerque,Raleigh
5212,9,2433,5.15,592.8,Oklahoma City,New Orleans
9569,10,4574.04,5.23,158.48,Chicago,New Orleans
2005,13,1265.16,4.24,1334.86,Oklahoma City,Kansas City
2686,20,1946.4,5.59,137.5,Houston,Detroit
3852,16,2919.6,6.28,115.64,New Orleans,Washington
3536,1,194.64,5.62,5355.85,Boston,Denver
2964,24,1265.16,4.83,110.26,Boston,Fresno
6496,19,1265.16,5.51,250.85,Detroit,Austin
1966,12,1362.48,5.93,135.81,Tampa,Fresno
2891,20,1070.52,4.89,602.4,Boston,San Jose
3626,20,1849.08,6.37,187.98,New Orleans,Milwaukee
1111,11,4282.08,5.27,32.07,Phoenix,Arlington
9160,14,583.92,4.45,1113.52,El Paso,Memphis
5089,10,875.88,3.79,920.09,El Paso,Milwaukee
2524,7,3600.84,5.44,78.54,Long Beach,Philadelphia
9024,7,1070.52,6.42,219.13,Baltimore,Raleigh
9774,19,583.92,5.59,958.9,Denver,Oklahoma City
7435,18,486.6,6.42,1526.54,San Diego,Fort Worth
6519,14,973.2,5.83,552.69,Nashville,Fort Worth
4435,7,681.24,6,1598.09,Mesa,Miami
1570,10,3114.24,3.96,110.21,Sacramento,Houston
9719,17,97.32,5.72,3119.69,Columbus,Fort Worth
1580,18,2919.6,7.03,292.61,Washington,New Orleans
5216,21,583.92,5.24,374.03,Albuquerque,Kansas City
7987,11,2043.72,4.49,28.2,Nashville,Virginia Beach
7593,21,486.6,4.95,2383.51,El Paso,Las Vegas
4990,7,1167.84,4.57,176.69,Baltimore,Miami
7709,12,389.28,6.67,1620.68,Detroit,Memphis
5702,8,97.32,3.79,10014.76,San Francisco,Charlotte
4505,16,291.96,4.82,3872.46,Columbus,Indianapolis
8251,13,97.32,4.52,4822.71,Los Angeles,Chicago
5030,15,778.56,4.84,1506.99,Los Angeles,San Jose
7922,19,583.92,7.2,2408.46,Tampa,Miami
3246,16,194.64,5.59,1599.42,Sacramento,Kansas City
3503,20,1946.4,5.65,201.67,Jacksonville,Albuquerque
2432,2,97.32,6.19,7330.26,Charlotte,San Francisco
4875,17,2724.96,6.69,269.51,Chicago,Milwaukee
7534,4,583.92,5.99,3073.36,Boston,Las Vegas
9046,2,778.56,5.09,180.66,Atlanta,Louisville
7819,12,1459.8,5.99,175.35,San Jose,Oklahoma City
5936,13,1265.16,5.45,613.04,Philadelphia,Denver
4395,15,3892.8,5.3,136.53,Phoenix,Oakland
4918,9,2724.96,7.41,89.1,Arlington,Boston
6217,14,2627.64,7.68,81.85,Atlanta,San Jose
1309,14,97.32,6.87,4603.67,Oklahoma City,Detroit
1639,21,2335.68,6.65,606.46,Sacramento,Jacksonville
6473,21,291.96,3.69,2798,Detroit,Las Vegas
9024,17,2822.28,4.58,48.87,Mesa,Philadelphia
6435,16,973.2,6.38,344.96,San Antonio,Indianapolis
5134,6,2141.04,5.73,259.31,Los Angeles,Detroit
9675,13,1654.44,5.85,141.25,Boston,Houston
9623,14,1362.48,6.5,241.55,Fresno,Tampa
2990,8,1265.16,4.08,249.01,Washington,San Antonio
3843,6,194.64,5.33,2461.88,Miami,Omaha
6178,22,1265.16,5.74,241.1,Seattle,Milwaukee
1533,1,486.6,5.65,283.67,El Paso,Indianapolis
1506,21,486.6,3.72,1242.72,Oakland,New Orleans
4847,9,1751.76,3.65,1095.59,El Paso,Houston
9462,10,3698.16,6.05,75.08,New Orleans,Jacksonville
8498,4,1849.08,5.88,824.71,Tampa,Louisville
9258,15,97.32,4.6,3746.88,Tucson,Fresno
1319,10,1167.84,5.53,424.35,Albuquerque,Virginia Beach
4429,2,2919.6,5.47,355.06,Virginia Beach,Columbus
4005,3,194.64,7.36,3001.95,Charlotte,Indianapolis
1761,11,1070.52,4.91,1117.89,Phoenix,San Francisco
1373,19,4087.44,5.76,36.43,Tampa,Philadelphia
8481,19,291.96,6.78,3681.6,Jacksonville,Charlotte
2258,8,1362.48,3.56,49.35,Portland,Omaha
9271,1,2822.28,5.4,135.95,Mesa,Philadelphia
1611,4,778.56,7.06,388.63,Kansas City,Minneapolis
8294,4,2238.36,6.92,513.63,Sacramento,Fort Worth
2990,20,973.2,6.31,660.39,Tucson,Long Beach
6191,6,1167.84,4.72,164.67,Boston,Dallas
6372,21,4087.44,4.4,135.98,Philadelphia,Tampa
3367,23,973.2,5.49,688.6,Albuquerque,Miami
7919,3,486.6,5.95,2854.98,Atlanta,Albuquerque
6159,10,1459.8,4.86,566.16,Minneapolis,Milwaukee
6355,1,1459.8,4.38,633.92,San Diego,Nashville
4298,24,1070.52,5.61,307.31,Mesa,Detroit
3218,3,2530.32,5.85,28.2,Minneapolis,Washington
1373,5,3114.24,3.92,55.52,Los Angeles,Fresno
8117,6,1362.48,5.49,239.6,Phoenix,Denver
6738,8,1557.12,4.93,118.2,Tucson,Arlington
4703,11,4184.76,5.63,120.25,Chicago,Minneapolis
3034,18,4574.04,3.76,88.61,Los Angeles,Arlington
5282,4,2043.72,5.42,583.18,Virginia Beach,Nashville
9152,7,1751.76,5.38,441,Memphis,Minneapolis
2402,9,583.92,5.57,726.94,Baltimore,Sacramento
1539,10,2919.6,5.31,109.28,San Francisco,Minneapolis
4695,19,1557.12,6.89,363.61,Charlotte,Milwaukee
7835,3,2433,6.29,181.8,Oakland,Washington
1682,11,2530.32,4.98,224.93,Omaha,Columbus
6230,16,3114.24,5.46,128.78,San Diego,Omaha
9197,2,3892.8,4.1,70.33,Philadelphia,Minneapolis
7434,18,1459.8,4.86,204.27,Nashville,Kansas City
9982,4,2433,5.36,74.02,Jacksonville,Atlanta
5602,22,2627.64,6.53,97.2,Austin,Kansas City
1776,13,1362.48,3.81,184.17,Oklahoma City,Austin
9930,20,389.28,3.11,434.2,Fort Worth,Dallas
1542,4,3016.92,3.76,359.5,Minneapolis,Charlotte
3778,4,778.56,4.39,206.95,Minneapolis,Kansas City
7488,4,1946.4,5.08,310.48,Oakland,Oklahoma City
9152,6,194.64,5.24,1917.84,Tucson,Milwaukee
1334,24,291.96,6.05,1413.98,Kansas City,Raleigh
6667,4,3308.88,5.17,26.6,Austin,Oakland
8014,18,2238.36,3.51,96.21,Denver,Miami
3524,7,2530.32,5.1,84.29,Milwaukee,Phoenix
4648,16,3795.48,6.15,343.01,Tulsa,San Diego
9917,7,1070.52,3.69,390.5,Sacramento,Tulsa
6294,13,97.32,5.68,2470.79,San Jose,Austin
1006,14,583.92,4.79,1108.84,Raleigh,Tulsa
4714,13,389.28,6.03,602,Austin,Charlotte
2848,7,1946.4,4.81,292.03,Boston,Raleigh
2011,16,778.56,6.21,705.83,Austin,Chicago
7146,17,486.6,5.12,500.75,Louisville,Detroit
1768,22,681.24,6.08,689.38,Chicago,San Jose
6643,11,194.64,5.43,2137.37,Boston,Denver
3343,24,2724.96,5.04,151.43,Kansas City,San Jose
9113,24,3600.84,6.73,33.9,Austin,Tampa
7835,8,1167.84,4.96,1659.86,Miami,Baltimore
2872,21,3503.52,5.28,21.36,New Orleans,Columbus
8504,23,3795.48,5.69,96.41,Virginia Beach,Phoenix
7446,6,97.32,5.63,1068.7,El Paso,Nashville
6653,23,1459.8,7.4,607.04,Atlanta,El Paso
3873,4,97.32,3.25,1536.55,Milwaukee,Albuquerque
4413,23,291.96,5.64,1012.82,Memphis,Oklahoma City
9844,3,3990.12,3.98,117.52,Chicago,Virginia Beach
7662,15,1557.12,7.21,426.56,New Orleans,Fresno
2098,13,97.32,4.68,2370.74,Colorado Springs,Kansas City
5198,9,4184.76,5.57,95.14,New Orleans,San Antonio
6887,6,2238.36,7.33,233.6,Jacksonville,Mesa
8268,3,2724.96,5.94,190.64,El Paso,New Orleans
9038,21,2724.96,3.89,105.61,Boston,Arlington
3555,8,875.88,3.72,217.97,Memphis,Denver
3262,13,1459.8,4.73,158.81,Long Beach,Memphis
8428,22,1946.4,6.97,164.5,Milwaukee,Austin
9831,10,4282.08,5.36,105.16,New Orleans,Philadelphia
6905,14,3211.56,3.14,146.12,Jacksonville,Oakland
2714,24,97.32,5.88,21623.85,Portland,Oklahoma City
3812,10,4087.44,5.29,213.69,Virginia Beach,Los Angeles
5399,6,1751.76,4.98,85.79,Las Vegas,Dallas
4983,20,97.32,6.74,4239.46,Portland,Las Vegas
8840,12,2724.96,4.53,505.27,Chicago,Milwaukee
5503,2,1751.76,5.15,73.31,Fort Worth,Milwaukee
9753,15,1849.08,5.28,322.89,Portland,Oakland
8301,17,97.32,6.83,7614.13,El Paso,Nashville
8703,1,1849.08,5.99,213.79,Omaha,Boston
1002,3,194.64,5.93,2546.92,Las Vegas,Oklahoma City
2132,18,389.28,5.23,1415.75,San Diego,Houston
9965,11,3600.84,4.25,114.02,Tampa,Austin
5934,11,1070.52,5.81,75.18,Colorado Springs,Memphis
1808,19,1070.52,6.3,778.43,San Jose,Boston
6891,21,3308.88,5.84,76.66,Omaha,Philadelphia
9840,5,1557.12,5.96,345.06,Washington,Houston
9226,14,389.28,4.48,1088.14,Detroit,Memphis
7956,18,2627.64,4.99,77.39,Arlington,El Paso
9407,15,2141.04,5.27,137.87,Mesa,Fort Worth
6979,22,1362.48,4.26,229.58,Oklahoma City,Colorado Springs
7527,15,1557.12,5.97,79.24,Portland,San Jose
3927,9,389.28,5.35,438.1,Omaha,Virginia Beach
1575,19,2627.64,4.83,228.76,Seattle,Oakland
9175,3,1654.44,5.46,102.74,Memphis,Oakland
9563,14,2822.28,7.16,56.19,Houston,Tucson
4798,1,1654.44,5.32,244,Phoenix,El Paso
4039,2,681.24,5.14,1249.85,Colorado Springs,Minneapolis
2650,21,1557.12,6.24,237.97,Tampa,Albuquerque
6472,16,1362.48,6.59,70.17,Houston,Seattle
6039,17,3795.48,5.25,74.82,Miami,Chicago
4029,22,3211.56,6.21,47.77,Sacramento,Chicago
9577,19,2822.28,5.26,222.63,Arlington,Washington
3320,9,1751.76,6.16,528.69,San Diego,Portland
1607,23,3211.56,5.08,45.19,Chicago,Sacramento
2235,16,2335.68,5.62,183.33,San Francisco,Omaha
9212,9,2043.72,4.09,317.32,Arlington,Memphis
6097,18,1070.52,6.67,96.54,Louisville,Seattle
1663,21,291.96,5.79,1519.03,Virginia Beach,Raleigh
4016,4,1167.84,5.28,93.46,Charlotte,Las Vegas
6565,21,681.24,7.67,1047.16,Indianapolis,San Jose
7634,19,681.24,4.72,1375.33,Detroit,Indianapolis
4239,3,973.2,4.28,273.08,Atlanta,Tulsa
7783,22,2433,5.96,183.94,Phoenix,Baltimore
1563,1,1362.48,4.58,459.5,Jacksonville,Portland
1359,19,4184.76,5.05,106.19,San Antonio,New Orleans
4931,17,291.96,5.25,4322.53,Omaha,Atlanta
9545,11,1654.44,6.02,460.8,Houston,Boston
9883,18,973.2,5.05,110.1,San Antonio,Indianapolis
4850,9,1265.16,4.64,286.76,Tampa,Mesa
2043,21,1265.16,5.25,39.11,Oakland,Albuquerque
7356,10,2335.68,6.35,147.21,Houston,Memphis
4424,5,973.2,5.35,311.76,Tucson,Long Beach
1913,9,97.32,4.27,640.04,Long Beach,Miami
7981,3,2627.64,6.42,105.78,Dallas,Sacramento
8807,16,2043.72,2.6,291.75,San Francisco,Atlanta
3162,16,4087.44,4.49,234.21,Philadelphia,Tampa
6904,1,681.24,6.18,482.56,Kansas City,Milwaukee
1072,8,2822.28,6.12,25.48,Austin,Omaha
9755,12,1167.84,4.63,224.44,Austin,Nashville
5704,7,3795.48,5.63,17.2,New Orleans,Austin
7221,14,3406.2,4.77,16.62,Charlotte,New Orleans
3675,23,583.92,6.81,275.85,Mesa,Louisville
7620,11,681.24,5.59,1261.02,Washington,Fort Worth
8783,4,2335.68,3.89,250.67,Baltimore,Philadelphia
9333,2,291.96,6.79,198.93,San Antonio,San Jose
4651,8,4087.44,6.13,28.32,Arlington,San Antonio
1427,22,3406.2,5.71,300.89,Philadelphia,Raleigh
9392,22,2724.96,5.36,166.05,Tulsa,Denver
1255,17,778.56,5.57,92.07,Baltimore,Kansas City
3371,21,1654.44,5.73,1308.15,Tucson,San Francisco
5335,2,1459.8,5.38,556.09,Portland,Austin
4856,5,486.6,4.74,1141.26,Fort Worth,San Diego
4726,23,3698.16,5.61,101.99,San Diego,Minneapolis
3411,4,1557.12,6.56,140.73,Fresno,New Orleans
5460,6,583.92,7.01,643.64,Oakland,Colorado Springs
5932,19,389.28,6.26,835.31,Virginia Beach,Omaha
5539,23,97.32,4.85,9654.85,San Diego,Dallas
2804,6,3892.8,5.39,57.4,Oakland,Phoenix
6788,11,3016.92,5.29,287.31,Dallas,Omaha
1335,11,1459.8,4.25,222.16,Seattle,Chicago
8203,12,194.64,7.07,2057.29,Tucson,Milwaukee
1947,15,778.56,5.42,816.1,Boston,Fort Worth
2535,24,1654.44,5.64,210.49,San Francisco,Tucson
9582,18,778.56,6.15,1033.74,Dallas,Indianapolis
5680,16,1265.16,5.82,414.81,Boston,San Diego
5933,13,194.64,4.85,795.14,Portland,Detroit
9598,12,2530.32,5.21,187.71,Tampa,El Paso
7280,3,2530.32,4.78,67.16,Minneapolis,Washington
1430,18,1654.44,3.3,223.24,Miami,Oklahoma City
2793,1,2238.36,4.7,729.45,Charlotte,Kansas City
6504,14,486.6,8.47,2464,Albuquerque,Las Vegas
2450,21,1751.76,5.85,180.38,Raleigh,Nashville
3111,12,1654.44,4.97,182.64,Washington,Atlanta
1712,7,1459.8,5.59,199.96,Raleigh,Portland
5190,9,1654.44,5.11,234.89,El Paso,Colorado Springs
1119,18,875.88,7.04,283.25,Columbus,Phoenix
3050,2,3016.92,5.08,290.22,Long Beach,Jacksonville
9401,23,681.24,4.01,1439.87,Memphis,Boston
7344,6,583.92,5.41,766.64,Colorado Springs,Oakland
5565,5,2530.32,6.13,170.45,Chicago,Louisville
5155,23,2530.32,5.85,202.84,Arlington,Nashville
5956,4,1654.44,5.58,518.59,Las Vegas,San Jose
9092,22,3795.48,5.43,217.27,Chicago,Miami
2973,14,3406.2,4.44,111.83,Austin,Minneapolis
3082,1,486.6,4.4,423.53,Tampa,Long Beach
6768,22,2043.72,5.83,364.46,Los Angeles,Nashville
